1308 Compositions 

alloy     Elastic Modulus, GPa
===============================
Cr80Li20 62.432575397245
Cr60Li40 61.2508771597975
Li60Cr40 60.2140091778751
Li80Cr20 59.3275780014237
Be80Li20 69.2605457726281
Be60Li40 66.1792404209835
Li60Be40 63.6322114656541
Li80Be20 61.6084020212701
Ta80Li20 90.5390116881493
Ta60Li40 88.3932611370021
Li60Ta40 86.5253918422367
Li80Ta20 84.9240400449004
Pd80Li20 121.473979844082
Pd60Li40 116.687788471588
Li60Pd40 112.354523383744
Li80Pd20 108.522104060627
Gd80Li20 62.776417201443
Gd60Li40 61.4602752889282
Li60Gd40 60.3797416208089
Li80Gd20 59.5209773996166
Al80Be20 216.913385473209
Al60Be40 210.438985616377
Be60Al40 204.177436266454
Be80Al20 198.178648012635
Hf80Be20 116.912316041481
Hf60Be40 114.933638484681
Be60Hf40 113.221052734968
Be80Hf20 111.745705880671
Pd80Be20 187.961461926487
Pd60Be40 183.153190448243
Be60Pd40 178.607081961899
Be80Pd20 174.305836627633
Ca80Be20 99.045741265896
Ca60Be40 96.9058945057772
Be60Ca40 95.155083015391
Be80Ca20 93.742120756692
Ca80Be20 106.784551744825
Ca60Be40 104.118254777332
Be60Ca40 101.878454248127
Be80Ca20 100.01884209184
Mg80B20 250.330757381849
Mg60B40 242.908526942773
B60Mg40 235.370703880854
B80Mg20 227.827659762843
Ag80B20 279.637010216411
Ag60B40 273.831470570351
B60Ag40 267.712570393128
B80Ag20 261.379271468464
Ti80B20 256.265594093269
Ti60B40 249.210109713747
B60Ti40 242.116751301102
B80Ti20 235.032878063733
Mo80B20 212.543414699124
Mo60B40 208.775016041968
B60Mo40 204.571870081134
B80Mo20 200.116646845325
Co80B20 305.266980202524
Co60B40 303.015165416864
B60Co40 300.14351652233
B80Co20 296.627937099763
P80Mg20 49.0484512020164
P60Mg40 48.2670405144406
Mg60P40 47.6735688244135
Mg80P20 47.2573115124436
Co80Mg20 44.0392223673608
Co60Mg40 43.0354546491742
Mg60Co40 42.1582704013313
Mg80Co20 41.4335649005202
Ti80Mg20 77.3485574339261
Ti60Mg40 76.3442094601291
Mg60Ti40 75.5365304693543
Mg80Ti20 74.9071614669221
Cu80Mg20 59.7096604932188
Cu60Mg40 59.0572053453875
Mg60Cu40 58.6196452361215
Mg80Cu20 58.3862171821394
W80Mg20 89.1056353850745
W60Mg40 87.7690074338852
Mg60W40 86.6980310475538
Mg80W20 85.8722494930931
Ta80Al20 109.472296315817
Ta60Al40 106.424509768619
Al60Ta40 103.765964002231
Al80Ta20 101.465114352801
Si80Al20 65.7785192829809
Si60Al40 64.7851990739793
Al60Si40 63.9841296609432
Al80Si20 63.4018593236003
La80Al20 75.1681186097944
La60Al40 74.3158810530538
Al60La40 73.670445220254
Al80La20 73.2270133407647
W80Al20 112.99138903872
W60Al40 110.156428080976
Al60W40 107.348571971844
Al80W20 104.696761558643
Mo80Al20 99.3881676305732
Mo60Al40 97.5965469218375
Al60Mo40 96.0196048007368
Al80Mo20 94.6632413158112
Gd80Si20 112.52933413214
Gd60Si40 110.639912473286
Si60Gd40 109.000321725467
Si80Gd20 107.58084421241
Ca80Si20 103.407093907811
Ca60Si40 102.101379532066
Si60Ca40 100.982690922591
Si80Ca20 100.035025679053
Hf80Si20 142.420641921013
Hf60Si40 138.605636539008
Si60Hf40 135.139206317349
Si80Hf20 131.993007829861
Zn80Si20 131.31383195266
Zn60Si40 125.098222199365
Si60Zn40 119.598965867911
Si80Zn20 114.833627090642
Ti80Si20 150.286379737869
Ti60Si40 146.187686384365
Si60Ti40 141.835660775791
Si80Ti20 137.461770366611
Ni80P20 35.4889328177342
Ni60P40 34.4426689380271
P60Ni40 33.5954412160263
P80Ni20 32.931048454606
Mo80P20 41.2423201634525
Mo60P40 40.4177938312931
P60Mo40 39.7018632800477
P80Mo20 39.0858319445548
Ta80P20 73.0453453592109
Ta60P40 71.2487887014835
P60Ta40 69.7005554129365
P80Ta20 68.3838441918827
Ni80P20 44.5564026068408
Ni60P40 43.3579008778926
P60Ni40 42.4458597689837
P80Ni20 41.8038901027649
Zr80P20 34.5887026332957
Zr60P40 34.2311439004864
P60Zr40 33.9488526969134
P80Zr20 33.736765108716
Co80Ca20 72.8283506517064
Co60Ca40 71.1100736264776
Ca60Co40 69.7644745695954
Ca80Co20 68.7636976645558
Be80Ca20 54.0105827347314
Be60Ca40 52.7498553410906
Ca60Be40 51.7986371085522
Ca80Be20 51.1359649670213
Cr80Ca20 66.5569277358033
Cr60Ca40 64.7915740425037
Ca60Cr40 63.3262197098633
Ca80Cr20 62.1411337421442
Fe80Ca20 62.0812518290309
Fe60Ca40 61.4443273729502
Ca60Fe40 61.0100689780176
Ca80Fe20 60.7707095940864
Al80Ca20 60.0338874752618
Al60Ca40 59.9439252503445
Ca60Al40 59.9930778393915
Ca80Al20 60.1757452157842
Cr80Sc20 93.7733784169514
Cr60Sc40 92.0948475772107
Sc60Cr40 90.5115902770779
Sc80Cr20 89.0882371650886
Cr80Sc20 69.2934576101228
Cr60Sc40 69.065937828528
Sc60Cr40 68.9477695104652
Sc80Cr20 68.9332847133855
Be80Sc20 163.517523270239
Be60Sc40 156.882325769239
Sc60Be40 150.824974937044
Sc80Be20 145.358812581732
Ag80Sc20 122.305746999102
Ag60Sc40 119.605998146487
Sc60Ag40 116.964344142491
Sc80Ag20 114.494767961446
Cu80Sc20 117.506055953766
Cu60Sc40 114.748034038059
Sc60Cu40 112.381135756076
Sc80Cu20 110.359856089489
Pd80Ti20 93.8401583192359
Pd60Ti40 93.2022787164116
Ti60Pd40 92.6607179568294
Ti80Pd20 92.2075185831682
Au80Ti20 123.518689218712
Au60Ti40 120.596854885442
Ti60Au40 117.854174683286
Ti80Au20 115.363929004911
Al80Ti20 110.668777417922
Al60Ti40 107.879989608874
Ti60Al40 105.453790761434
Ti80Al20 103.384075292415
Pd80Ti20 105.023569320255
Pd60Ti40 103.063190634802
Ti60Pd40 101.393924375952
Ti80Pd20 99.9881981144569
Si80Ti20 139.600669549204
Si60Ti40 135.737531179868
Ti60Si40 132.17621122736
Ti80Si20 128.904661900794
Sn80Cr20 141.449300445977
Sn60Cr40 138.696764297115
