1336 Compositions 

alloy     Yield Strength, GPa
===============================
Hf80Li20 0.797939262515881
Hf60Li40 0.809971356307764
Li60Hf40 0.822666757598898
Li80Hf20 0.836100922698437
La80Li20 0.557437864435409
La60Li40 0.56741039711259
Li60La40 0.578284318843511
Li80La20 0.589932909157243
Sn80Li20 0.55588758368502
Sn60Li40 0.564497683842388
Li60Sn40 0.574047596613753
Li80Sn20 0.584440298000254
Ni80Li20 0.774390513634286
Ni60Li40 0.789272865664122
Li60Ni40 0.804432591362226
Li80Ni20 0.819732714314784
La80Li20 0.549031399230973
La60Li40 0.555738752453333
Li60La40 0.563791878578277
Li80La20 0.57326184582511
La80Be20 1.10606303098662
La60Be40 1.15549564286235
Be60La40 1.20589115611015
Be80La20 1.2562291792268
Au80Be20 1.28588278674261
Au60Be40 1.30912175881794
Be60Au40 1.33283863805637
Be80Au20 1.3571095297827
Ni80Be20 1.24545024595058
Ni60Be40 1.29199493028056
Be60Ni40 1.3395957397507
Be80Ni20 1.38757478396177
Cu80Be20 1.56960811665795
Cu60Be40 1.60972895805802
Be60Cu40 1.64993416631682
Be80Cu20 1.69011877787954
Sc80Be20 1.64800457794888
Sc60Be40 1.73829631929927
Be60Sc40 1.83115688493342
Be80Sc20 1.92465405321619
Mo80B20 3.20496142513057
Mo60B40 3.34236173897359
B60Mo40 3.47803621033668
B80Mo20 3.60854816169756
Co80B20 3.18939802488765
Co60B40 3.35776407895856
B60Co40 3.51441156783529
B80Co20 3.65582918762916
Ca80B20 4.95550062581305
Ca60B40 5.01735757060231
B60Ca40 5.06599067305739
B80Ca20 5.10291450707202
Cr80B20 4.23891606644997
Cr60B40 4.37742086480764
B60Cr40 4.49301273816239
B80Cr20 4.58692884208766
Cr80B20 3.85696144786733
Cr60B40 4.02369263069614
B60Cr40 4.16934191686686
B80Cr20 4.29325565863589
Zr80Mg20 0.539674230097319
Zr60Mg40 0.551010429173024
Mg60Zr40 0.563519334680078
Mg80Zr20 0.577070465571569
Fe80Mg20 1.29441269245645
Fe60Mg40 1.34061539478543
Mg60Fe40 1.38579502001828
Mg80Fe20 1.42904993939138
B80Mg20 1.20329302801729
B60Mg40 1.23809227002772
Mg60B40 1.27245434088419
Mg80B20 1.30590732299659
Al80Mg20 0.750391195730256
Al60Mg40 0.764341999095347
Mg60Al40 0.779172154639393
Mg80Al20 0.794670522020717
Ta80Mg20 0.961139853874146
Ta60Mg40 0.974454656705951
Mg60Ta40 0.987454508889471
Mg80Ta20 1.00017892078939
Zn80Al20 0.783279249543536
Zn60Al40 0.800178091470356
Al60Zn40 0.817448523322403
Al80Zn20 0.834985175519227
Ti80Al20 1.58721669103614
Ti60Al40 1.61446503914121
Al60Ti40 1.64192038740288
Al80Ti20 1.66953424178363
Zn80Al20 1.08450421413505
Zn60Al40 1.11689492156988
Al60Zn40 1.14832458406159
Al80Zn20 1.17830486840709
Cu80Al20 1.4278781745903
Cu60Al40 1.47154867490096
Al60Cu40 1.51445724612971
Al80Cu20 1.5558549107966
Ag80Al20 1.71806008576378
Ag60Al40 1.7681624571533
Al60Ag40 1.81612209995485
Al80Ag20 1.86083138189303
Cr80Si20 1.72074864514013
Cr60Si40 1.76589838081467
Si60Cr40 1.81218773705828
Si80Cr20 1.85940079286908
Co80Si20 2.57120751809569
Co60Si40 2.67985783178054
Si60Co40 2.78724558041237
Si80Co20 2.89114196028994
Sn80Si20 1.40636819886171
Sn60Si40 1.4454377561554
Si60Sn40 1.48435027862586
Si80Sn20 1.52260951423102
Cu80Si20 1.78297462827847
Cu60Si40 1.83580648761933
Si60Cu40 1.88844833904476
Si80Cu20 1.94017015211677
Ag80Si20 2.21811021357903
Ag60Si40 2.31713062356079
Si60Ag40 2.41092644253759
Si80Ag20 2.49728763083363
Ti80P20 0.595644166776234
Ti60P40 0.60334323367892
P60Ti40 0.61206747034343
P80Ti20 0.621820080848892
Be80P20 0.648444128356511
Be60P40 0.658157469686707
P60Be40 0.668770778062383
P80Be20 0.680265691706813
Sn80P20 0.436888509859005
Sn60P40 0.442919410542774
P60Sn40 0.449645165174684
P80Sn20 0.457003085247596
Ni80P20 0.623779133076176
Ni60P40 0.639345146083251
P60Ni40 0.655583474742199
P80Ni20 0.67223218319113
Ta80P20 0.747998715792716
Ta60P40 0.757123906373149
P60Ta40 0.766691840623356
P80Ta20 0.776766797552528
Co80Ca20 0.751517050922629
Co60Ca40 0.763590672177431
Ca60Co40 0.77712702008571
Ca80Co20 0.792123947707766
W80Ca20 0.87308180321623
W60Ca40 0.884667164969204
Ca60W40 0.896466603321199
Ca80W20 0.908470670574445
Al80Ca20 0.624046111504778
Al60Ca40 0.63493568618748
Ca60Al40 0.646666650222537
